	EVENT_ID	PUBLISH_DATE	ActionGeo_CountryCode	ActionGeo_Lat	ActionGeo_Long	SOURCEURL	title	text
34	1116075034	20230720	GQ	13.2613	145.096	https://markets.financialcontent.com/stocks/article/bizwire-2023-7-20-ntt-supports-guam-network-infrastructure-rebuild-in-wake-of-typhoon-mawar	Stock Market  FinancialContent Business Page	Stock Market  FinancialContent Business Page FinancialContent fully hosted finance channel
35	1116075035	20230720	USOH	39.162	-84.4569	https://www.cincinnati.com/story/news/2023/07/20/cincinnati-music-festival-check-weather-forecast-for-weekend-storms-sunny-thursday-friday-saturday/70436283007/	Cincinnati Music Festival Check weather forecast for this weekend	Cincinnati Music Festival Check weather forecast for this weekend Luckily for all of you music fans drier and cooler air will make its way into the region Friday when the festival moves to Paycor Stadium
36	1116075036	20230720	SA	25.0	45.0	https://climatechangenews.com/2023/07/20/imo-shipping-climate-talks-emissions-oil-fossil-fuels/	Dozens of oil  industry lobbyists attended secretive shipping emissions talks	Dozens of oil  industry lobbyists attended secretive shipping emissions talks Oil and gas companies like Shell BP and Equinor were represented at shipping climate talks
37	1116075037	20230720	SF05	-33.9833	25.55	https://www.illinoistimes.com/springfield/twin-passions-for-theater-and-social-justice/Content?oid=17133627	Twin passions for theater and social justice  Community  Lifestyle  Illinois Times	Twin passions for theater and social justice  Community  Lifestyle  Illinois Times Emma Marie Shafer April 13 1999July 11 2023
40	1116075040	20230720	GA05	13.2675	-16.6461	https://allafrica.com/stories/202307200298.html	Gambia BAC Inks MOU With 5 Private Garbage Collection Companies  allAfricacom	Gambia BAC Inks MOU With 5 Private Garbage Collection Companies  allAfricacom Brikama Area Council on Tuesday signed a Memorandum of Understanding MOU with five private waste collection companies within the West Coast Region The event also witnessed the launch of a waste management project called titled Seneya Project
41	1116075041	20230720	RPD9	14.6042	120.982	https://www.manilatimes.net/2023/07/20/news/national/bir-raids-establishments/1901483	BIR raids establishments  The Manila Times	BIR raids establishments  The Manila Times THE Bureau of Internal Revenue BIR raided 747 establishments during its second nationwide operation from July 13 to 14 2023
44	1116075044	20230720	CA05	48.95	-57.9333	https://www.cbc.ca/news/canada/newfoundland-labrador/nl-carbon-tax-rental-market-1.6910399	This NL woman saw the price of her oil bill and decided it was cheaper to move  CBC News	This NL woman saw the price of her oil bill and decided it was cheaper to move  CBC News Ashley Sheppard and her roommates calculated filling their furnace oil tank on a monthly basis would cost over 650 a month
51	1116075051	20230720	USIL	41.9234	-87.6992	http://www.chicagotribune.com/news/ct-congress-theater-chicago-rehabilitation-tif-money-20230720-kqelyaidszcq7bvr7ctpobfir4-story.html	Congress Theater to get up to 27 million in Chicago aid	Congress Theater to get up to 27 million in Chicago aid It was one of Chicagos original movie palaces but later became a popular live music venue
54	1116075054	20230720	UKC3	52.2	0.116667	https://www.cambridge-news.co.uk/news/cambridge-news/new-park-inside-295-home-27358072	New park inside 295 home Cambridge estate agreed  10 years after sign off  Cambridgeshire Live	New park inside 295 home Cambridge estate agreed  10 years after sign off  Cambridgeshire Live Cambridge City Council and South Cambridgeshire District Council have approved the designs for the park area
56	1116075056	20230720	UKD6	50.6333	-1.93333	https://www.thegayuk.com/is-there-a-nudist-beach-in-dorset/	Is there a nudist beach in Dorset  THEGAYUK	Is there a nudist beach in Dorset  THEGAYUK Studland for the studs
58	1116075058	20230720	USCA	37.2488	-121.84	https://www.sfchronicle.com/weather-forecast/article/bay-area-air-quality-18208426.php	Access to this page has been denied	Access to this page has been denied pxcaptcha
60	1116075060	20230720	GM07	51.2667	7.18333	https://www.express.co.uk/news/uk/1793141/family-find-minefield-beach	Horror moment family stumble upon minefield during trip to beach  UK  News  Expresscouk	Horror moment family stumble upon minefield during trip to beach  UK  News  Expresscouk A startled dad was left terrified when he took his family on a beach vacation and discovered it was a former minefield
61	1116075061	20230720	DJ00	19.0	39.5	https://www.express.co.uk/news/uk/1793184/avoid-shark-attacks-advice	Expert pinpoints one thing to avoid doing if you ever come facetoface with a shark  UK  News  Expresscouk	Expert pinpoints one thing to avoid doing if you ever come facetoface with a shark  UK  News  Expresscouk The advice comes amid reports of a spike in shark attacks
62	1116075062	20230720	USMD	38.2912	-76.6358	https://977thebay.com/local-news/e40c5fd804d44d152570f1e9e931d0ca	Local News  977 The Bay	Local News  977 The Bay LEONARDTOWN MD  Superintendent of Schools Dr J Scott Smith announces the administrative appointments made by the Board of Education at its meeting of July 19 2023 The Board appointed Mr Patrick James as Assistant Principal 11 month at Margaret Brent Middle School Mr James holds a Masters Degree from American College of Education and a Bachelors Degree from Ohio University Mr James currently serves as an Instructional Compliance Facilitator in the Department of Curriculum and Instruction Mr Robert Mattera has been appointed as Assistant Principal 11 month at Leonardtown Middle School Mr Mattera holds a Masters Degree from Towson University and a Bachelors Degree from Johns Hopkins University Mr Mattera currently serves as a Music Teacher at Captain Walter Francis Duke Elementary School Dr Brooke Anthony has been appointed as Assistant Principal 12 month at Spring Ridge Middle School Dr Anthony holds a Doctorate Degree from Auburn University a Masters Degree from Johns Hopkins University and a Bachelors Degree from Hood College Dr Anthony currently serves as an Assistant Principal 11 month at Spring Ridge Middle School Mr Robert Springer has been appointed as Supervisor of Food and Nutrition Services in the Department of Food and Nutrition Services Mr Springer holds both a Masters and Bachelors Degree from Virginia Polytechnic Institute and State University Mr Springer currently serves as a Coordinator of Food and Nutrition Services in the Department of Food and Nutrition Services Mr Joseph Wysokinski has been appointed as Supervisor of Maintenance in the Department of Maintenance Mr Wysokinski holds a Masters Degree from Notre Dame of Maryland University and a Bachelors Degree from East Stroudsburg University Mr Wysokinski currently serves as an Assistant Principal at Chopticon High School Mr James and Mr Matteras appointments become effective July 27 2023 Dr Anthony Mr Springer and Mr Wysokinskis appointments become effective July 24 2023
63	1116075063	20230720	SP53	28.0997	-15.4134	https://www.sanclementetimes.com/wellness-prevention-whats-new-with-the-wellness-prevention-coalition/	Wellness  Prevention Whats New with the Wellness  Prevention Coalition  San Clemente Times	Wellness  Prevention Whats New with the Wellness  Prevention Coalition  San Clemente Times Prevention Director Lauren Gallegos of the Wellness  Prevention Center authors the groups column this month to highlight some of the newer programs and events that have recently taken place to support youth mental health and prevent drug and alcohol use among teens
64	1116075064	20230720	IN16	18.5333	73.8667	https://www.ndtv.com/india-news/12-killed-in-landslide-at-maharashtras-raigad-district-rescue-op-on-4225662	12 Killed In Landslide At Maharashtras Raigad District Rescue Op On	12 Killed In Landslide At Maharashtras Raigad District Rescue Op On Twelve people were killed after a massive landslide at a village in Maharashtras Raigad district Chief Minister Eknath Shinde said on Thursday
65	1116075065	20230720	USCA	33.7	-117.768	https://www.latimes.com/california/story/2023-07-20/larry-pryor-former-times-journalist-and-usc-professor-dies-at-86	Larry Pryor former Times journalist and USC professor dies at 86  Los Angeles Times	Larry Pryor former Times journalist and USC professor dies at 86  Los Angeles Times Larry Pryor was a reporter and editor for the Los Angeles Times who led some of the papers earliest experiments in digital journalism before moving on to fulltime teaching
70	1116075070	20230720	RS48	55.7522	37.6156	https://www.stripes.com/theaters/europe/2023-07-20/nato-membership-trump-10796559.html	Senate passes measure that would keep president from pulling out of NATO without approval  Stars and Stripes	Senate passes measure that would keep president from pulling out of NATO without approval  Stars and Stripes The move coincides with alliance skeptic Donald Trumps frontrunner status as the Republican presidential nominee in 2024
71	1116075071	20230720	FI	64.0	26.0	https://www.newtimesslo.com/arts/sisu-14117676	Sisu  Movies  San Luis Obispo  New Times San Luis Obispo	Sisu  Movies  San Luis Obispo  New Times San Luis Obispo Whats it rated PG13 When 2022 Wheres it showing Redbox and Amazon Prime Writerdirector Jalmari Helander Rare Exports Big Game directs this action thriller about
72	1116075072	20230720	UKJ5	55.0508	-1.45389	https://www.express.co.uk/travel/articles/1793187/staycation-coastal-free-parking	Coastal staycation destination with a great beach even has free parking  Travel News  Travel  Expresscouk	Coastal staycation destination with a great beach even has free parking  Travel News  Travel  Expresscouk Seaside towns are among some of the most popular staycation destinations in the UK but spending entire days at the beach comes at a premium in some places In select locations however it costs less than 5 per day to park on the coast
74	1116075074	20230720	UKP3	52.3333	-1.58333	https://www.northsomersettimes.co.uk/news/national/23668907.ministers-warned-not-neglect-hydrogen-following-battery-plant-investment/	Ministers warned not to neglect hydrogen following battery plant investment  North Somerset Times	Ministers warned not to neglect hydrogen following battery plant investment  North Somerset Times The Government was warned that hydrogenpowered vehicles could supersede batterypowered ones
75	1116075075	20230720	UKT6	57.0167	-3.38333	https://www.express.co.uk/news/royal/1793189/king-charles-sovereign-grant-cut	King Charles receives major blow as Treasury slashes Sovereign Grant from 25 to 12  Royal  News  Expresscouk	King Charles receives major blow as Treasury slashes Sovereign Grant from 25 to 12  Royal  News  Expresscouk The Sovereign Grant is used to fund the Royal Familys official duties however less money will now be available for their use
77	1116075077	20230720	UKN7	51.1667	-0.183333	https://www.leicestermercury.co.uk/news/real-life/couple-blast-tui-after-being-8614039	Couple blast TUI after being left in filthy hotel with cockroaches and bed bugs  Leicestershire Live	Couple blast TUI after being left in filthy hotel with cockroaches and bed bugs  Leicestershire Live The disgusting scenes came after their flight was delayed by more than a day
78	1116075078	20230720	BR	-10.0	-55.0	https://thehardtackle.com/transfer-news/2023/07/20/manchester-city-eyeing-raphinha-as-riyad-mahrez-replacement/	Manchester City eyeing Raphinha as Riyad Mahrez replacement	Manchester City eyeing Raphinha as Riyad Mahrez replacement Manchester City will reportedly look to sign Barcelona attacker Raphinha a target for Chelsea to replace Riyad Mahrez
79	1116075079	20230720	UKH9	51.5	-0.116667	https://www.express.co.uk/finance/personalfinance/1793190/British-gas-fixed-energy-tariff-deals-price-cap	British Gas offers new fixed energy deal  which are cheaper than price cap for some  Personal Finance  Finance  Expresscouk	British Gas offers new fixed energy deal  which are cheaper than price cap for some  Personal Finance  Finance  Expresscouk British Gas has begun offering customers fixedrate tariffs which may work out cheaper than the price cap
80	1116075080	20230720	RPD9	14.6042	120.982	https://www.manilatimes.net/2023/07/20/news/national/un-chief-warns-ai-also-a-threat-to-global-peace/1901489	UN chief warns AI also a threat to global peace  The Manila Times	UN chief warns AI also a threat to global peace  The Manila Times UNITED NATIONS United Nations SecretaryGeneral Antonio Guterres on Tuesday warned that artificial intelligence AI could pose a risk to global peace and security calling on all member states to urgently set up guardrails to keep the technology in check
82	1116075082	20230720	VM44	21.0333	105.85	https://e.vnexpress.net/news/news/malaysia-pm-anwar-ibrahim-welcomed-in-hanoi-for-official-visit-4631935.html	Malaysia PM Anwar Ibrahim welcomed in Hanoi for official visit  VnExpress International	Malaysia PM Anwar Ibrahim welcomed in Hanoi for official visit  VnExpress International Prime Minister Pham Minh Chinh helmed the welcoming ceremony on Thursday for his Malaysian counterpart Anwar Ibrahims twoday visit to Vietnam  VnExpress International
85	1116075085	20230720	NI36	5.5	6.0	https://www.marketscreener.com/news/latest/Convicted-Nigerian-politician-Ibori-faces-huge-UK-confiscation-order--44379090/	Convicted Nigerian politician Ibori faces huge UK confiscation order  Today at 0810 am  MarketScreenercom	Convicted Nigerian politician Ibori faces huge UK confiscation order  Today at 0810 am  MarketScreenercom A London court should order the confiscation of more than 100 million pounds from Nigerian politician James Ibori a convicted fraudster who spent years in prison in Britain a state prosecutor  Today at 0810 am  MarketScreener
91	1116075091	20230720	FI	64.0	26.0	https://screenrant.com/secret-invasion-nick-fury-avengers-no-return/	Marvel Just Killed All Hope Of The Avengers Returning Before Kang Dynasty	Marvel Just Killed All Hope Of The Avengers Returning Before Kang Dynasty The Avengers have been missing from Secret Invasion and even Nick Fury doesnt want them involved which spells bad news for the MCUs hero team
93	1116075093	20230720	USIL	40.3363	-89.0022	https://qctimes.com/news/state-regional/government-politics/what-iowans-want-new-teacher-from-davenport-targets-illinois-schools-instead-of-iowa/article_2af70d3c-dedb-5516-adb5-fc47cee63c04.html	What Iowans Want New teacher from Davenport targets Illinois schools instead of Iowa	What Iowans Want New teacher from Davenport targets Illinois schools instead of Iowa Editors Note This is part of a larger series What do Iowans want that asks 20 Iowans across the state about their lives and how state government impacts them
95	1116075095	20230720	GR64	39.4439	21.555	https://countercurrents.org/2023/07/mass-murder-at-sea-greek-coastguard-tried-to-tow-hundreds-of-migrants-to-italy-capsized-the-vessel/	Mass Murder At Sea Greek Coastguard Tried To Tow Hundreds Of Migrants To Italy Capsized The Vessel Countercurrents	Mass Murder At Sea Greek Coastguard Tried To Tow Hundreds Of Migrants To Italy Capsized The Vessel Countercurrents On June 14 a fishing vessel carrying hundreds of refugees the Adriana sank off the Greek port city of Pylos Roughly 600 people including children
96	1116075096	20230720	KE07	-0.527309	34.4571	https://www.the-star.co.ke/counties/nyanza/2023-07-20-six-people-with-gunshot-wounds-rushed-to-homa-bay-referral/	Six people with gunshot wounds rushed to Homa Bay Referral	Six people with gunshot wounds rushed to Homa Bay Referral One of the victims says he was shot while inside his house
97	1116075097	20230720	NL	52.5	5.75	https://www.maitlandmercury.com.au/story/8277943/eus-timmermans-to-leave-brussels-to-run-in-dutch-poll/?cs=7607	EUs Timmermans to leave Brussels to run in Dutch poll  The Maitland Mercury  Maitland NSW	EUs Timmermans to leave Brussels to run in Dutch poll  The Maitland Mercury  Maitland NSW Frans Timmermans will leave the European Commission to run for the leadership of the combined Labour and Green
99	1116075099	20230720	UP17	46.4639	30.7386	https://www.theguardian.com/world/2023/jul/20/what-was-the-black-sea-grain-deal-and-why-did-it-collapse	What was the Black Sea grain deal and why did it collapse  Ukraine  The Guardian	What was the Black Sea grain deal and why did it collapse  Ukraine  The Guardian What will happen now that Russia has pulled out of deal that allowed Ukrainian grain to reach world markets
100	1116075100	20230720	IN07	28.6	77.2	https://www.ynetnews.com/article/b17zitlqh	Shock in India Women were paraded naked and sexually assaulted Prime Minister Modi	Shock in India Women were paraded naked and sexually assaulted Prime Minister Modi In a video taken on May 4 in Manipur amid deadly ethnic clashes men are seen marching a mother and daughter without clothes and touching them while they cry and beg them to stop after which they allegedly were gang raped Modi promises we will punish there is no forgiveness
106	1116075106	20230720	KE03	0.354615	37.5822	https://www.the-star.co.ke/news/realtime/2023-07-20-ruto-we-must-protect-kenya-by-all-means/	Ruto We must protect Kenya by all means	Ruto We must protect Kenya by all means The president lauded most Kenyans whom he said shunned protests
110	1116075110	20230720	UKH9	51.5	-0.116667	https://www.envirotech-online.com/news/environmental-laboratory/7/international-environmental-technology/chris-witty-mp-tyres-will-soon-pose-a-greater-threat-than-exhausts/60817	Chris Witty MP Tyres will soon pose a greater threat than exhausts Envirotech Online	Chris Witty MP Tyres will soon pose a greater threat than exhausts Envirotech Online Englandrsquos Chief Medical Officer Sir Chris Whitty has recently drawn attention to a subtle yet critical source of pollution car tyres Click to read more
111	1116075111	20230720	GH00	6.2192	0.514669	https://www.peacefmonline.com/pages/politics/politics/202307/490639.php	I Will Replace Rawlings As Your Godfather  Alan Assures Voltarians  Politics  Peacefmonlinecom	I Will Replace Rawlings As Your Godfather  Alan Assures Voltarians  Politics  Peacefmonlinecom I Will Replace Rawlings As Your Godfather  Alan Assures Voltarians
112	1116075112	20230720	GH	8.0	-2.0	https://www.peacefmonline.com/pages/politics/politics/202307/490628.php	This Is Childishness Bow Your Head In Shame  AnnohDompreh Slams Minority Over Boycott Of Parliament  Politics  Peacefmonlinecom	This Is Childishness Bow Your Head In Shame  AnnohDompreh Slams Minority Over Boycott Of Parliament  Politics  Peacefmonlinecom This Is Childishness Bow Your Head In Shame  AnnohDompreh Slams Minority Over Boycott Of Parliament
113	1116075113	20230720	PE15	-12.05	-77.05	https://www.manilatimes.net/2023/07/20/news/national/senate-to-block-bato-arrest-zubiri/1901480	Senate to block Bato arrest  Zubiri  The Manila Times	Senate to block Bato arrest  Zubiri  The Manila Times SENATE President Juan Miguel Migz Zubiri on Wednesday said that the Philippine Senate will not allow the arrest of Sen Ronald Bato dela Rosa upon the order of the International Criminal Court ICC
115	1116075115	20230720	EI07	53.3331	-6.24889	https://www.sundayworld.com/crime/courts/two-men-suspected-of-burglaries-and-car-thefts-due-before-court-in-dublin/a1159962270.html	Two men suspected of burglaries and car thefts due before court in Dublin  SundayWorldcom	Two men suspected of burglaries and car thefts due before court in Dublin  SundayWorldcom Two men arrested by garda probing an organised crime gang responsible for number of burglaries and car thefts nationwide in recent weeks are to appear in court this morning
117	1116075117	20230720	IN38	22.8	86.1833	https://zeenews.india.com:443/companies/her-mother-was-embarrassed-with-the-idea-of-selling-lingerie-know-how-richa-kar-defied-all-odds-to-start-zivame-and-make-it-a-multi-million-rupee-business-2637972.html	Her Mother Was Embarrassed With The Idea Of Selling Lingerie But This Girl From Middleclass Family Defied All Odds To Start A MultiMillion Rupee Biz  Companies News  Zee News	Her Mother Was Embarrassed With The Idea Of Selling Lingerie But This Girl From Middleclass Family Defied All Odds To Start A MultiMillion Rupee Biz  Companies News  Zee News Richa Kar the founder of Zivame had to overcome a number of challenges in her entrepreneurial journey to lead Indias online lingerie industry and control a multimillion rupee empire
118	1116075118	20230720	UK	54.0	-4.0	https://pressgazette.co.uk/the-wire/media-jobs-uk-news/jamie-east-dmg-media-head-of-podcasts/	DMG Media appoints Jamie East as head of podcasts	DMG Media appoints Jamie East as head of podcasts DMG Media has appointed Jamie East its head of podcasts reporting to editor Ted Verity and Rothermere heir Vere Harmsworth
120	1116075120	20230720	CA	60.0	-96.0	https://finance.yahoo.com/news/investors-canadian-national-railway-tse-115930890.html	Investors in Canadian National Railway TSECNR have seen decent returns of 46 over the past five years	Investors in Canadian National Railway TSECNR have seen decent returns of 46 over the past five years Generally speaking the aim of active stock picking is to find companies that provide returns that are superior to the
121	1116075121	20230720	IN	20.0	77.0	https://www.benzinga.com/news/earnings/23/07/33297599/nokia-q2-highlights-3-topline-decline-apple-partnership-and-strong-enterprise-performance	Nokia Q2 Highlights 3 Topline Decline Apple Partnership And Strong Enterprise Performance  Nokia NYSENOK  Benzinga	Nokia Q2 Highlights 3 Topline Decline Apple Partnership And Strong Enterprise Performance  Nokia NYSENOK  Benzinga Nokia CorpnbspNYSE NOK reported a secondquarter FY23 net sales decline of 3 yearonyear 0 in constant currency to euro571 billion 622 billion missing the consensus of 638 billion
123	1116075123	20230720	RS	60.0	100.0	https://www.sfchronicle.com/opinion/openforum/article/ai-nuclear-weapon-18205351.php	Access to this page has been denied	Access to this page has been denied pxcaptcha
127	1116075127	20230720	CI	-30.0	-71.0	https://www.marketscreener.com/quote/stock/FREEPORT-MCMORAN-INC-12574/news/Freeport-McMoRan-Reports-Second-Quarter-And-Six-Month-2023-Results-44378963/	Freeport McMoRan  Reports SecondQuarter And SixMonth 2023 Results	Freeport McMoRan  Reports SecondQuarter And SixMonth 2023 Results FreeportMcMoRan Reports SecondQuarter and SixMonth 2023 Results Solid
128	1116075128	20230720	IN02	18.0	79.5	https://www.ndtv.com/opinion/opinion-a-likely-formula-for-oppositions-2024-success-with-big-ifs-4225887	Opinion How The Opposition Can Win In 2024	Opinion How The Opposition Can Win In 2024 If INDIA wants to defeat the NDA it needs either nationally widespread antiincumbency of a kind not yet evident or it needs to be able to partially rewind the nationalisation of our politics
132	1116075132	20230720	RPA7	13.7567	121.058	https://www.manilatimes.net/2023/07/20/business/corporate-news/pldt-gets-ntc-approval-for-cable-landing-stations/1901444	PLDT gets NTC approval for cable landing stations  The Manila Times	PLDT gets NTC approval for cable landing stations  The Manila Times THE National Telecommunications Commission NTC has granted PLDT Inc a provisional authority to construct two new cable landing stations that will host the Apricot cable system
133	1116075133	20230720	RP51	16.17	120.78	https://www.manilatimes.net/2023/07/20/news/national/legarda-wants-more-support-for-msmes/1901482	Legarda wants more support for MSMEs  The Manila Times	Legarda wants more support for MSMEs  The Manila Times SEN Lorna Regina Loren Legarda has called for more government support for micro small and medium enterprises MSMEs noting they serve as the vital backbone of the Philippine economy
136	1116075136	20230720	RP	13.0	122.0	https://businessmirror.com.ph/2023/07/20/globe-at-home-gfiber-prepaid-advances-digital-access-and-literacy/	Globe At Home GFiber Prepaid advances digital access and literacy  BMPlus	Globe At Home GFiber Prepaid advances digital access and literacy  BMPlus Recognizing the crucial role that internet access and digital literacy play in socioeconomic development Globe is committed to bridging the digital divide in the Philippines through its latest innovative solution Globe At Home GFiber Prepaid GFiber Prepaid is designed to bring fast and reliable internet service to every Filipino household
138	1116075138	20230720	UKH9	51.5	-0.116667	https://www.chesterstandard.co.uk/news/national/23668862.stormont-stalemate-totally-unsustainable-oneill-tells-heaton-harris/	Stormont stalemate is totally unsustainable ONeill tells HeatonHarris  Chester and District Standard	Stormont stalemate is totally unsustainable ONeill tells HeatonHarris  Chester and District Standard Northern Ireland Secretary Chris HeatonHarris is concluding a series of talks with party leaders
139	1116075139	20230720	EI07	53.3331	-6.24889	https://www.sundayworld.com/news/irish-news/angry-crowds-confront-gardai-following-asylum-seeker-protest-in-ballybrack-dublin/a1255648502.html	Ballybrack Angry crowds confront garda following Dublin asylum seeker protest  SundayWorldcom	Ballybrack Angry crowds confront garda following Dublin asylum seeker protest  SundayWorldcom There were further tense scenes in Ballybrack south Dublin last night following an attack on a local building that had been reportedly earmarked for asylum seekers
141	1116075141	20230720	RS39	57.8006	93.3014	https://www.b92.net/eng/news/world.php?yyyy=2023&mm=07&dd=20&nav_id=116387	Zakharova on Srebrenica Unacceptable demonization of Serbs  WorldEnglish  on B92net	Zakharova on Srebrenica Unacceptable demonization of Serbs  WorldEnglish  on B92net Latest Serbia news in English latest Kosovo news in English Serbian economy news Serbian business news Serbian politics news Balkan regional news in English
